Titulo
quimica
introduccion a la investigacion de operaciones
sistemas operativos un enfoque en espiral
ingenieria del software un enfoque practico
calidad total y productividad
analisis numerico
fisiologia humana
metodos numericos para ingenieros
calculo de varias variables
matematicas
jawetz melnick y adelberg microbiologia medica
micologia medica ilustrada
estatica
fundamentos de quimica
fisica para ingenieria y ciencias
fisica para ingenieria y ciencias
cirugia general para el medico general
sherris microbiologia medica
antropologia cultural
microeconomia con aplicaciones a america latina
nutricion aplicada al deporte
desarrollo de una cultura de calidad
nutricion y dietoterapia
comunicacion y liderazgo una propuesta juvenil
historia de la psicologia un enfoque conceptual
administracion de operaciones conceptos y casos contemporaneos
fisiologia humana
introduccion a la metodologia de la investigacion en ciencias de la salud
practica de la geriatria
evaluacion del estado de nutricion en el ciclo vital humano
dinamica
analisis y diseño de experimentos
harrison principios de medicina interna
harrison principios de medicina interna
harrison principios de medicina interna
administracion estrategica textos y casos
administracion una perspectiva global y empresarial
álgebra lineal
diseño en ingenieria mecanica de shigley novena edicion
administracion financiera correlacionada con las nif
dispositivos y circuitos electronicos
analisis de circuitos en ingenieria
ganong fisiologia medica
mecanica vectorial para ingenieros dinamica
mecanica vectorial para ingenieros estatica
quimica
control estadistico de calidad y seis sigma
desarrollo humano
mecanica de materiales
contabilidad de costos
matematicas financieras
fundamentos de circuitos electricos
introduccion a la teoria general de la administracion
etica en los negocios decisiones eticas para la responsabilidad social e integridad personal
contabilidad financiera
administracion de recursos humanos gestion del capital humano
introduccion a la computacion
fisiologia humana
fundamentos de la ciencia e ingenieria de materiales
ingenieria industrial de niebel metodos estandares y diseño del trabajo
psicologia con aplicaciones en paises de habla hispana
redaccion comercial estructurada
quimica organica
sangre de tinta
romance de la democracia rebeldia sumisa en el mexico contemporaneo
y mexico por que no
y mexico por que no
por la milenaria china historias vivencias y comentarios
cuentos reunidos
cuentos reunidos
organizaciones en la mira comunicacion estrategica para prevenir y manejar las crisis
filosofia y ciencias de la vida
mirada de galileo
fracta antologia poetica
imprevisibles historias en torno a la obra y legado de edmundo ogorman
genero poder y politica en el mexico posrevolucionario
ensayos
billar no es de vagos ciencia juegos y diversion
historia de mexico
escuchemos a los niños
paraiso en cenizas una odisea de valentia terror y esperanza en guatemala
gay la identidad homosexual de platon a marlene dietrich
18 para los 18
18 para los 18
18 para los 18
18 para los 18
18 para los 18
18 para los 18
18 para los 18
confianza y confiabilidad
cuentos completos
discurso acerca de las pasiones del amor y otros opusculos
cuentos completos
mañana
del nacionalismo al neoliberalismo 19401994
del nacionalismo al neoliberalismo 19401994
sujeto dialogico negociaciones de la modernidad conflictiva
responsabilidad social total comunicacion estrategica para la sustentabilidad
actores y escenarios de la independencia guerra pensamiento e instituciones 18081825
culpas viejas mujeres nuevas
cuentos completos
diario de sueños
nueva historia de la guerra fria
guia ilustrada de la historia moderna
quimicos y quimica
rama dorada magia y religion nuevo compendio a partir de la segunda y tercera ediciones
politica de la pertenencia brujeria autoctonia e intimidad
aborto guerra de absolutos
economia y sociedad
gran escape salud riqueza y los origenes de la desigualdad
autoestima infantil y juvenil guia gestaltica para tener hijos triunfadores
educacion popular y promocion del bienestar
manual de sociedades civiles y mercantiles
diseño de cocinas productos ideas materiales
normativa en bioetica derechos humanos salud y vida
riesgos de trabajo y sus repercusiones version bilingue españolingles
publicidad y propaganda
traumatologia forense
estrategias didacticas del aprendizaje cooperativo metodo eli
guia para evaluar por competencias
como evaluar el dominio de competencias
oftalmologia en animales
registro civil a la vanguardia en el distrito federal
educacion mexicana y sus barreras
historia del pensamiento filosofico
tratado de metafisica
de robinson a odiseo pedagogia estructurativa
diseño de la forma en mexico epoca prehispanica
comunicacion semiotica y estetica desde una perspectiva realista
introduccion al derecho financiero
abc del aprendizaje cooperativo trabajo en equipo para aprender y enseñar
teoria del estado
como enfrentar el fracaso escolar guia para padres y maestros
investigacion social caminos recursos acercamientos y consejos
tecnologia de materiales
legislacion en enfermeria francisco gonzalez rodriguez
instrumentos de evaluacion en la investigacion educativa
psicologia y comunicacion visual estrategias para la prevencion del suicidio en adolescentes
principios estructurales en la arquitectura mexicana
fundamentos geometricos del diseno y la pintura actual
guia metodologica para la elaboracion de las tesinas una opcion de titulacion de los profesionales de enfermeria del pre y posgrado
ser maestro consejos y recomendaciones para la practica docente
antologia del desarrollo psicologico del nino en edad preescolar anthology of psychological development in preschooler
instrumentos juridicos de defensa frente al fisco jorge m mendez galeana
prestaciones y servicios del imss
derecho y matrimonio
codigo etico del psicologo
educacion especial en mexico y america latina
identidades de genero mas alla de cuerpos y mitos
pensamiento de vigotsky contradicciones desdoblamientos y desarrollo
geometria vectorial
educacion familiar un valor permanente
modelo educativo basado en competencias
competencias en lectura y redaccion i
sistematizacion de la practica docente
como coordinar la educacion entre padres y profesores
radio un gigante dormido
aspectos de la violencia intrafamiliar a puerta cerrada
investigacion en las ciencias sociales
significado de los colores
sindicatos federaciones y confederaciones en las empresas y en el estado
calculo diferencial e integral en varias variables
comunicacion en las organizaciones
primer curso de contabilidad
álgebra lineal principios basicos
manual de contratos civiles y mercantiles
como formular un proyecto de tesis guia para estructurar una propuesta de investigacion desde el oficio de la historia
leyes de telecomunicaciones
secretos del exito en mercadotecnia
exito tambien es para las mujeres enfrente sin miedo los retos para triunfar en la vida
analisis logico de los delitos contra la vida
primer curso de contabilidad
violencia familiar y adicciones recomendaciones preventivas
derecho de la igualdad entre hombres y mujeres su situacion juridica en mexico
manual de investigacion documental y redaccion
primer curso de contabilidad
violencia domestica talleres preventivos
politica exterior de mexico y sus nuevos desafios
sirenas sueñan con trilobites
puerto libre historias de migrantes
diario secreto de susi diario secreto de paul
industrias culturales y el desarrollo de mexico
hay dos sexos ensayos de feminologia
aventura de pensar
cementerio de praga
sobre la muerte y los moribundos alivio del sufrimiento psicologico para los afectados
sicario autobiografia de un asesino a sueldo
libreria de las nuevas oportunidades
mi ultimo suspiro
cero y el infinito
oficio de muerte periodistas asesinados en el pais de la impunidad
mejores tecnicas para hablar en publico
quien de nosotros
thomas calculo una variable
ecuaciones diferenciales
comportamiento organizacional enfoque para america latina
finanzas en las empresas multinacionales
contabilidad 1
mecanica de materiales
diseño de maquinas un enfoque integrado
introduccion a la programacion estructurada en c
administracion de pymes emprender dirigir y desarrollar empresas
estrategias de enseñanzaaprendizaje docencia universitaria basada en competencias
competencias en la docencia universitaria preguntas frecuentes
quimica organica
quimica organica
administracion de ventas
principios de microeconomia
metodos cuantitativos para los negocios
estudios de resiliencia en america latina
teorias del aprendizaje una perspectiva educativa
quimica de los alimentos
administracion de la compensacion sueldos salarios y prestaciones
comportamiento del consumidor
ortografia
costos
comportamiento organizacional
fundamentos de administracion conceptos esenciales y aplicaciones
fisica universitaria
psicologia
plan de vida y carrera manual de desarrollo humano
fisica universitaria
introduccion a la metodologia experimental
quimica la ciencia central
estadistica para administracion
principios de administracion de operaciones
psicologia educativa
manufactura ingenieria y tecnologia
manufactura ingenieria y tecnologia
principios de administracion financiera
psicologia del exito para mujeres lo que toda mujer necesita saber lo que todo hombre necesita entender
mujeres son de venus para entender a la mujer de tu vida
misogino feminista
reforma del estado y la calidad de la democracia en mexico una reflexion sobre sus instituciones
derechos humanos y la educacion una mirada pedagogica en el contexto de la globalizacion coord jesus escamilla salazar
detras de la trama politicas migratorias entre mexico y estados unidos
juego y alfabetizacion bases para un sistema educativo cultural vygotskiano
temas emergentes en los estudios de genero
violencia domestica talleres preventivos
investigaciones sobre genero aspectos conceptuales y metodologicos
malqueridos mexicanos en estados unidos a finales del siglo xx
trama de una injusticia feminicidio sexual sistemico en ciudad juarez
al otro lado del rio
nuevas mediciones de la inflacion y el crecimiento economico en mexico
educacion y salud en los migrantes mexicoestados unidos
menores infractores en la frontera mexicoestados unidos cultura e identidad frente al papel de las instituciones estudios de casos 19962008
economia mexicana en 19 miradas
mexico una democracia vulnerada
imagen urbana mexico en el siglo xxi entre la crisis y la transicion urbana
innovacion educativa y tecnologia
trabajar y vivir en la frontera identidades laborales en las maquiladoras de tijuana
kaizengp la aplicacion y sostenibilidad de la mejora continua de procesos en la gestion publica
construyendo relaciones y fortalezas familiares un panorama internacional
alma de migrante
tonatico social club migracion remesas y desarrollo
inseguridad perspectivas desde america latina
de estudiantes a profesores transiciones y dilemas en la incorporacion profesional
fuego cruzado las mediaciones televisivas en la familia
estres y salud aportaciones desde la psicologia social
democracia y reformas politicas en mexico y america latina
desigualdades sociales y ciudadania desde las culturas juveniles en america latina
estrategia de politica publica en la gestion financiera en los municipios urbanos de mexico y su impacto en la gobernabilidad local
por eso la mate una aproximacion sociocultural a la violencia contra las mujeres
comunicacion y educacion enfoques desde la alternatividad
mercadotecnia para exposiciones
introduccion al arte de la investigacion cientifica
documentos para la historia del mexico independiente 18081938
nuevas enfermedades mentales y salud publica de la fundamentacion teorica a la contingencia de la vida cotidiana
complejo militar industrial de los estados unidos los responsables de las crisis financieras contemporaneas y sus origenes
reimaginar cultura verde rompecabezas de la existencia y conceptos de la cultura verde
region migratoria la construccion social de los migrantes jornaleros
nuevo sistema de justicia penal sus protagonistas el cuando como y por que en chihuahua
pasado presente y futuro de los partidos politicos en mexico
finanzas publicas locales en mexico herramientas de diagnostico y respuesta en un entorno de crisis
sistema politico mexicano ayer y hoy continuidades y rupturas
derechos de las familias en la ciudad de mexico
transparencia y rendicion de cuentas en la educacion superior del noroeste de mexico
nuevos circulos del nuevo infierno
periurbanizacion y sustentabilidad en grandes ciudades
etica y responsabilidad social de las empresas la nueva cultura de la epoca de la globalizacion
julio cortazar perspectivas criticas ensayos ineditos
temas selectos de genero y desarrollo sustentable
derechos humanos amor y sexualidad en la diversidad sexual desde la perspectiva de genero
incursiones en la complejidad
sin energia cambio de paradigma retos y resistencias
lectura moderna textos de linguistica gramatica literatura geografia biologia e historia basados principalmente en temas recurrentes de secundaria
textos y contextos del envejecimiento en mexico retos para la familia y el estado
universidad y sustentabilidad
mercadotecnia con salsa
sobre la amistad aristoteles
piense y hagase rico
guion y sus formatos una guia practica
construyendo la herramienta perspectiva de genero como portar lentes nuevos
trabajemos juntos por un futuro mejor estrategias para el trabajo con padres de familia
asesoria pedagogica intinerante recopilacion de experiencias
informe hitler informe secreto del nkvd para stalin extraido de los interrogatorios a otto gunsche ayudante personal de hitler y heinz linge su ayuda de camara moscu 1948 1949
siglo de caudillos biografia politica de mexico 18101910
apocalipticos e integrados
darwin la historia de un hombre extraordinario
telon ensayo en siete partes
orden del discurso
desierto
matematica demente
muerte como espectaculo estudio sobre la realidadhorror
como vivimos por que morimos la vida secreta de las celulas
pornografia obsesion sexual y tecnologica
siete manifiestos dada con algunos dibujos de picabia
jardin de cemento
huespedes inesperados
gatos pardos
plegaria por un papa envenenado
caballero de san petersburgo
imperdonable
ultimo baile de charlot
misterio de la orquidea calavera
vestido de novia
subasta del lote 49
veneno de las adelfas
fiesta de la insignificancia
derecho penal internacional
derecho de familia
teoria del derecho
sistema politico mexicano
derecho fiscal
obligaciones civiles
derecho fiscal constitucional
concursos mercantiles ayuda de memoria
derecho de la seguridad social
fundamentos de psicologia juridica y forense
argumentacion juridica
lecciones de derecho fiscal
derecho electoral
derecho de la propiedad intelectual
argumentacion juridica
bienes y derechos reales
derecho procesal mercantil teoria y clinica
derechos humanos
teoria general de las obligaciones
derecho administrativo 1er curso
argumentacion juridica
títulos y operaciones de credito analisis teorico practico de la ley general de títulos y operaciones de credito y temas afines
titulos de credito manual practico para el uso de cheques pagares acciones y otros
metodos alternativos de solucion de conflictos
manual del juicio oral reforma judicial federal
derecho individual del trabajo
derecho fiscal
consumidores y ciudadanos conflictos multiculturales de la globalizacion
manual de estilo proceso
antioxidantes en alimentos y salud
psicologia del trabajo
fisica general
quimica la ciencia central
matematicas universitarias introductorias con nivelador mymathlab tutor interactivo online
comportamiento organizacional
principios de administracion de operaciones
fisica universitaria con fisica moderna
electronica teoria de circuitos y dispositivos electronicos
fisica universitaria con fisica moderna
desarrollo psicologico
psicologia charles g morris albert a maisto tr maria elena ortiz salinas rev tec maria fayne esquivel ancona et al
desarrollo psicologico
fundamentos de nutricion y dietetica
administracion gestion organizacional enfoques y proceso administrativo
psicologia educativa
administracion de proyectos guia para el aprendizaje
fundamentos de teoria economica
investigacion fundamentos y metodologia
introduccion a la inferencia estadistica
seguridad industrial y administracion de la salud
empresas familiares vision latinoamericana estructura gestion crecimiento y continuidad
empresas familiares vision latinoamericana estructura gestion crecimiento y continuidad
microeconomia
comportamiento del consumidor
fisiologia medica
voz de mexico en la asamblea general de la onu
voz de mexico en la asamblea general de la onu
voz de mexico en la asamblea general de la onu
protocolos y procedimientos en el paciente critico
materiales dentales aplicaciones clinicas
bioquimica
sustentabilidad y psicologia positiva una vision optimista de las conductas proambientales y prosociales
expediente clinico
psicologia de la obesidad esferas de vida multidisciplina y complejidad
geriatria
aportaciones a la psicologia juridica y forense desde iberoamerica
psicologia de la violencia causas prevencion y afrontamiento
psicologia de la violencia causas prevencion y afrontamiento
psicologia de la violencia causas prevencion y afrontamiento
clima y ambiente organizacional trabajo salud y factores psicosociales
clima y ambiente organizacional trabajo salud y factores psicosociales
bullying estampas infantiles de la violencia escolar exploraciones psicologicas
bullying estampas infantiles de la violencia escolar exploraciones psicologicas
tratamiento para la identidad del adolescente ait una aproximacion integral de la personalidad
tratamiento para la identidad del adolescente ait una aproximacion integral de la personalidad
dsm5 guia para el diagnostico clinico
entrevista psicologica
prescripcion del ejercicio y la salud en niños y jovenes con obesidad estrategias de intervencion
continuidad y cambio en la familia factores intervinientes
burnout consecuencias y soluciones
trastorno por deficit de atencion e hiperactividad
comportamiento humano en las organizaciones fundamentacion
trastorno por deficit de atencion e hiperactividad
comportamiento humano en las organizaciones fundamentacion
reto de ser padres vivir en familia
psicodiagnostico clinico del niño
ciudades red una vision a traves de los imaginarios urbanos
mujeres experiencias y retos
hacia una nueva agenda de la educacion superior en america latina situacion y perspectiva
innovacion curricular en instituciones de educacion superior pautas y procesos para su diseño y gestion
cultura institucional de genero en la universidad de guadalajara
manual de seguridad para instituciones de educacion superior estrategias para la prevencion y atencion
formacion para la innovacion el curriculo ante las demandas de la nueva economia
vinculacion en el sistema de educacion superior de mexico
vinculacion para la innovacion reflexiones y experiencias
uso de las tecnologias de la informacion y la comunicacion tic en la educacion
usos del tiempo y consumo cultural de los estudiantes universitarios
experiencias y resultados de programas de accion afirmativa con estudiantes indigenas de educacion superior en mexico peru colombia y brasil
cambiar interrumpir o abandonar la construccion de experiencias de los estudiantes en su transito por una institucion de educacion superior tecnologica
metodologias para la innovacion curricular universitaria basada en el desarrollo de competencias
construir la legitimidad estrategias de una institucion de educacion superior privada
investigacion curricular en mexico 20022011
convivencia disciplina y violencia en las escuelas 20022011
educacion desigualdad y alternativas de inclusion la investigacion educativa en mexico 20022011
investigaciones sobre la investigacion educativa 20022011
multiculturalismo y educacion 20022011
procesos de formacion 20022011
procesos de formacion 20022011
filosofia teoria y campo de la educacion 20022011
una decada de investigacion educativa en conocimientos disciplinares en mexico 20022011 matematicas ciencias naturales lenguaje y lenguas extranjeras
fimpes y la mejora de la calidad en instituciones privadas cambio prestigio y legitimidad tres estudios de caso 19942004
una nueva educacion para america latina en el siglo xxi desafios tensiones y dilemas
adecuar la oferta de educacion a la demanda de trabajo es posible una critica a los analisis adecuacionistas de relacion entre formacion y empleo
anuies y la educacion superior en mexico 19502015 entrevistas a los secretarios generales ejecutivos
conservadurismo y derechas en la historia de mexico
conservadurismo y derechas en la historia de mexico
biodiversidad de mexico inventarios manejos usos informatica conservacion e importancia cultural
estacion numero uno
independencia y educacion cultura civica educacion indigena y literatura infantil antologia de textos
amor e historia la expresion de los afectos en el mundo de ayer
independencia y educacion cultura civica educacion indigena y literatura infantil antologia de textos
palabras para alfonso reyes
haciendo facil lo dificil como aprender a estudiar
ciudad juarez la nombradia varia desde sus origenes hasta la actualidad
ciudad juarez la nombradia varia desde sus origenes hasta la actualidad
ciudad juarez la nombradia varia desde sus origenes hasta la actualidad
caminos de la justicia en los documentos de ignacio l vallarta ogazon
introduccion a la retorica y la argumentacion elementos de retorica y argumentacion para perfeccionar y optimizar el ejercicio de la funcion jurisdiccional
libertad de expresion y el derecho a manifestarse
manual para entender el juicio de amparo teoricopractico
ecuaciones diferenciales ordinarias introduccion
crimenes de odio por homofobia los otros asesinatos de ciudad juarez
maras identidades juveniles al limite
sindicatos y politica en mexico cambios continuidades y contradicciones
trama de una injusticia feminicidio sexual sistemico en ciudad juarez
trabajar y vivir en la frontera identidades laborales en las maquiladoras de tijuana
activismo social trasnacional un analisis en torno a los feminicidios en ciudad juarez
procesos economicos laborales y urbanos en la frontera noreste en el contexto de la apertura economica
gestion ambiental en ciudad juarez chihuahua participacion social en el marco de la gobernabilidad democratica
diversidad vulnerada discriminacion y politica de proteccion del derecho a la igualdad en baja california sur
migrantes desplazados braceros y deportados experiencias migratorias y practicas politicas
sed de mal feminicidio jovenes y exclusion social
mudando el hogar al norte trayectorias de integracion de los inmigrantes mexicanos en los ángeles
teoria de la economia politica del envejecimiento un nuevo enfoque para la gerontologia social en mexico
maras identidades juveniles al limite
genero y migracion
genero y migracion
desarrollo humano transfronterizo retos y oportunidades en la region sonoraarizona
encuesta sobre migracion en la frontera sur de mexico 2011 emif sur serie historica 20062011
crisis financiera internacional efectos sectoriales en mexico y en su frontera norte
vida muerte y resistencia en ciudad juarez una aproximacion desde la violencia el genero y la cultura
migracion urbanizacion y medio ambiente en la region paso del norte
lineas limites y colindancias mirada a las fronteras desde america latina
juvenicidio ayotzinapa y las vidas precarias en america latina y españa
actores redes y desafios juventudes e infancias en america latina
vidas y territorios en busca de justicia
migrantes en transito a estados unidos vulnerabilidades riesgos y resiliencia
familias empresariales en mexico sucesion generacional y continuidad en el siglo xx
frontera norte y ciudadania ante la encrucijada de la inseguridad
generaciones cursos de vida y desigualdad social en mexico
movilidad humana en ciudad juarez 20072012 transitando de la inmigracion laboral a la emigracion y desplazamiento forzado
historia del loco
teorias de la personalidad
álgebra
principios de ecologia
psicologia social
calculo esencial
psicopatologia comprendiendo la conducta anormal
quimica general
psicologia conceptos y aplicaciones
costos i historicos introduccion al estudio de la contabilidad y control de los costos industriales
esencia de la estrategia de marketing la estrategia a partir del consumidor
psicologia educativa
precalculo
marketing de servicios conceptos estrategias y casos
estadistica para negocios y economia
fundamentos de fisica
administracion exitosa de proyectos
quimica organica
estadistica elemental
psicologia y salud
transiciones vulnerables juventud desigualdad y exclusion en mexico
entre manantiales y rios desatados paradojas de las hidropoliticas fronterizas mexicoguatemala
nueva generacion social de familias tecnologias de reproduccion asistida y temas contemporaneos
genero y trabajo en las maquiladoras de mexico nuevos actores en nuevos contextos
justicias indigenas y estado violencias contemporaneas
lineas limites y colindancias mirada a las fronteras desde america latina
abriendo fronteras problematicas y perspectivas sobre las mujeres en el siglo xxi
sublimidad digital ciberespacio mito y poder
emergencia del psicoanalisis en mexico
gestion integradora contra la violencia en la escuela algunas herramientas para directivos y otros actores escolares
elementos conceptuales y metodologicos para el estudio de la violencia en las escuelas
tipografia en la cultura
expediente clinico
titulos de credito manual practico para el uso de cheques pagares acciones y otros
certeza vocacional en el contexto universitario
desarrollo humano transfronterizo retos y oportunidades en la region sonoraarizona
administracion y control de la calidad
ecuaciones diferenciales con aplicaciones de modelado
jovenes violencia o convivencia tecnicas participativas para la resolucion noviolenta de conflictos
panorama de las juventudes estudiantiles de la universidad autonoma de ciudad juarez
ciudadania politica y universidad un estudio sobre el desenvolvimiento politico de los estudiantes universitarios en las instituciones de educacion superior en ciudad juarez
habitabilidad y eficiencia energetica en conjuntos habitacionales de interes social cuatro paises seis cuidades
obesidad en el escolar sus determinantes y soluciones
rasgos y desafios en la educacion superior en ciudad juarez
espejos y realidades de ciudad juarez
color en el interiorismo y los niños con sindrome de down
violencia en ciudad juarez una mirada psicologica en perspectiva multifactorial
chihuahua hoy 2013 visiones de su historia economia politica y cultura
politicas federales e intervencion empresarial en la configuracion urbana de ciudad juarez 19401992
ciudad juarez y la necesidad de politica de la ciudad real a la ideal
fundamento y condicion del derecho internacional
salud genero y empoderamiento
violencia de genero y politicas publicas
estadistica descriptiva manual de estudio
chihuahua hoy 2014 visiones de su historia economia politica y cultura
comunicacion economia y sociedad aportaciones a la investigacion sociocultural desde la frontera norte de mexico
salud genero y empoderamiento
investigacion formacion y docencia en educacion
crear construir y jugar en un mundo de papel
ecuaciones diferenciales ordinarias
educacion y sociedad reflexiones debates y propuestas educativas
historias paralelas 15 años despues politicas cambios y continuidades en universidades publicas en mexico
bajo la egida de marte
ejercicio de la violencia en ciudad juarez experiencias de investigacion
vulnerabilidad y resiliencia diferencias interculturales en la experiencia del dolor cronico
isla de los ancianos
vidas y territorios en busca de justicia
impacto de las violencias en las escuelas secundarias del noroeste de chihuahua en el lustro 20082012
mujeres en movimientos organizacion y resistencia en la industria maquiladora de ciudad juarez
andamiaje retorico de genero un conocimiento situado en la universidad autonoma de ciudad juarez 20082012
metafisica juridica es eficaz en el conocimiento juridico
de cultura fisica el deporte el ocio y la recreacion
siniestros viales y analisis espacial estudio de los siniestros de transito con sistemas de informacion geografica en ciudad juarez mexicali y toluca
educacion universitaria oportunidades y desafios en el siglo xxi
derecho conflicto y argumentacion estudios juridicos en homenaje a jorge alberto silva
mejora continua para empresas
experienciar el trabajo social apuntes para el acercamiento a una evaluacion critica
diseño y planificacion de proyectos educativos una adaptacion de la metologia de marco logico al ambito educativo
diseño y planificacion de proyectos educativos una adaptacion de la metologia de marco logico al ambito educativo
bioquimica
bioquimica
taller de lectura y redaccion ii con enfoque por competencias segundo semestre
estudios regionales de competitividad y desarrollo en busca de estrategias generadoras de resultados positivos y crecimiento
derecho fiscal
